PROBEID	GENENAME
240771_at	chromosome 1 open reading frame 101
240772_at	NA
240773_at	NA
240774_at	NA
240775_at	NA
240776_at	NA
240777_at	spectrin repeat containing, nuclear envelope 2
240778_at	GINS complex subunit 4 (Sld5 homolog)
240779_at	NA
240780_at	NA
240781_x_at	DCN1, defective in cullin neddylation 1, domain containing 1
240782_at	NA
240783_at	NA
240784_at	N-acetyltransferase 16 (GCN5-related, putative)
240785_at	NA
240786_at	notch 4
240787_at	NA
240788_at	NA
240789_at	NA
240790_at	NA
240791_at	NA
240792_at	NA
240793_at	titin
240794_at	neuronal PAS domain protein 4
240795_at	NA
240796_at	NA
240797_at	PERP, TP53 apoptosis effector
240798_at	NA
240799_at	solute carrier family 35, member F4
240800_x_at	NA
240801_at	long intergenic non-protein coding RNA 1549
240802_at	NA
240803_at	NA
240804_at	NA
240805_at	NA
240806_at	ribosomal protein L15
240807_at	long intergenic non-protein coding RNA 1187
240808_at	esterase D
240809_at	ZNF295 antisense RNA 1
240810_at	MKNK1 antisense RNA 1
240811_at	NA
240812_at	NA
240813_at	NA
240814_at	uncharacterized LOC441058
240815_at	NA
240816_at	NA
240817_at	uncharacterized LOC101929034
240818_at	OVCH1 antisense RNA 1
240819_at	NA
240820_at	NA
240821_at	NA
240822_at	tyrosyl-DNA phosphodiesterase 1
240823_at	NA
240824_at	NA
240825_at	NA
240826_at	NA
240827_at	GATA3 antisense RNA 1
240828_at	JARID2 antisense RNA 1
240829_at	NA
240830_at	small Cajal body-specific RNA 17
240831_at	NA
240832_at	NA
240833_at	NA
240834_at	OTU deubiquitinase with linear linkage specificity
240835_at	NA
240836_at	ribosomal protein L27
240836_at	zinc finger protein 19
240837_at	fibronectin type III domain containing 7
240838_s_at	downregulated RNA in cancer, inhibitor of cell invasion and migration
240839_at	NA
240840_s_at	SET domain containing 9
240841_at	insulinoma-associated 2
240842_at	uncharacterized LOC101927020
240843_at	NA
240844_at	NA
240845_at	NA
240846_at	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2
240847_at	NA
240848_at	NA
240849_at	NA
240850_at	NA
240851_at	NA
240852_at	NA
240853_at	NA
240854_x_at	NA
240855_at	NA
240856_at	free fatty acid receptor 4
240857_at	dynein, axonemal, heavy chain 9
240858_at	NA
240859_at	zinc finger, FYVE domain containing 16
240860_at	NA
240861_at	NA
240862_at	RAS guanyl releasing protein 4
240863_at	cytochrome P450, family 19, subfamily A, polypeptide 1
240864_at	NA
240865_at	NA
240866_at	NA
240867_at	NA
240868_at	uncharacterized LOC100129406
240869_at	potassium channel, voltage gated Shab related subfamily B, member 1
240870_at	NA
240871_at	family with sequence similarity 221, member B
240872_at	NA
240873_x_at	Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)
240874_at	NA
240875_at	CTS telomere maintenance complex component 1
240876_x_at	chromosome 15 open reading frame 43
240877_x_at	NA
240878_at	spermatid maturation 1
240879_x_at	NA
240880_at	uncharacterized LOC101927089
240881_at	NA
240882_at	uncharacterized LOC100506289
240883_at	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
240884_at	coiled-coil domain containing 14
240885_at	NA
240886_at	calcium-sensing receptor
240887_at	uncharacterized LOC100506470
240888_at	NA
240889_at	CMT1A duplicated region transcript 15-like 2
240890_at	caspase 4, apoptosis-related cysteine peptidase pseudogene
240891_at	follistatin-like 1
240892_at	NA
240893_at	NA
240894_at	uncharacterized LOC102467079
240895_at	NA
240896_at	NA
240897_at	NA
240898_at	sperm associated antigen 16
240899_at	NA
240900_at	chromosome 7 open reading frame 50
240901_at	NA
240902_at	long intergenic non-protein coding RNA 641
240903_at	NA
240904_at	NA
240905_at	NA
240906_at	NA
240907_at	NA
240908_at	NA
240909_at	NA
240910_at	NA
240911_at	nitric oxide synthase 1 (neuronal)
240912_x_at	Ewing sarcoma associated transcript 1
240913_at	fibroblast growth factor receptor 2
240914_at	NA
240915_at	immunoglobulin heavy variable 1-69
240916_x_at	NA
240917_at	uncharacterized LOC101927640
240918_at	zinc finger protein 77
240918_at	uncharacterized LOC101928631
240919_at	NA
240920_at	NA
240921_at	NA
240922_at	NA
240923_at	NA
240924_x_at	NA
240925_at	NA
240926_at	leucine-rich repeats and calponin homology (CH) domain containing 3
240927_at	NA
240928_at	FCF1 rRNA-processing protein
240929_at	RBPMS antisense RNA 1
240930_at	cramped chromatin regulator homolog 1
240931_s_at	NA
240932_at	ubinuclein 2
240933_at	NA
240934_at	NA
240935_at	NA
240936_at	cytokine receptor CRL2
240937_at	NA
240938_at	long intergenic non-protein coding RNA 1227
240939_x_at	NA
240940_at	NA
240941_at	NA
240942_at	M-phase phosphoprotein 8
240943_at	NA
240944_at	uncharacterized LOC101929027
240945_at	NA
240946_at	NA
240947_at	anoctamin 6
240948_at	NA
240949_x_at	NA
240950_s_at	coiled-coil domain containing 155
240951_at	RAR-related orphan receptor A
240952_at	NA
240953_at	NA
240954_at	CHKB antisense RNA 1 (head to head)
240955_at	pannexin 3
240956_at	NA
240957_at	NA
240958_at	unc-5 netrin receptor C
240959_at	NA
240960_at	NA
240961_at	NA
240962_at	NA
240963_x_at	plexin domain containing 1
240964_at	NA
240965_at	NA
240966_at	SH3 domain and tetratricopeptide repeats 2
240967_at	keratin associated protein 19-3
240968_at	NA
240969_at	NA
240970_x_at	uncharacterized LOC102723684
240971_x_at	NA
240972_at	NA
240973_s_at	NA
240974_at	uncharacterized LOC100506851
240975_x_at	RNA binding protein, fox-1 homolog (C. elegans) 3
240976_at	NA
240977_at	NA
240978_at	NA
240979_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon pseudogene 7
240980_at	NA
240981_at	NA
240982_at	cysteinyl-tRNA synthetase
240983_s_at	cysteinyl-tRNA synthetase
240984_at	NA
240985_at	NA
240986_at	uncharacterized LOC101928943
240987_at	NA
240988_x_at	NA
240989_at	NA
240990_at	RAB5A, member RAS oncogene family
240991_at	NA
240992_at	NA
240993_at	UPF3 regulator of nonsense transcripts homolog B (yeast)
240994_at	NA
240995_at	NA
240996_at	NA
240997_at	NA
240998_at	NA
240999_at	uncharacterized LOC100287704
241000_at	NA
241001_at	NA
241002_at	NA
241003_at	NA
241004_at	NA
241005_at	NA
241006_at	NA
241007_at	NA
241008_at	NA
241009_at	forkhead box N4
241010_x_at	NA
241011_at	NA
241012_at	NA
241013_at	family with sequence similarity 124A
241014_at	FLG antisense RNA 1
241015_at	NA
241016_at	NA
241017_at	ribosomal protein L31
241017_at	TBC1 domain family, member 8 (with GRAM domain)
241018_at	transmembrane protein 59
241019_at	NA
241020_at	NA
241021_at	NA
241022_at	NA
241023_at	NA
241024_at	KH homology domain containing 1
241025_at	UTP6, small subunit (SSU) processome component, homolog (yeast)
241026_at	NA
241027_at	optic atrophy 1 (autosomal dominant)
241028_at	RPGRIP1-like
241029_at	NA
241030_at	NA
241031_at	C2 calcium-dependent domain containing 4A
241032_at	ankyrin repeat domain 40
241033_at	NA
241034_at	glutaminase
241035_s_at	TMEM161B antisense RNA 1
241036_at	NA
241037_at	NA
241038_at	NA
241039_at	NA
241040_at	NA
241041_at	NA
241042_at	NA
241043_at	NA
241044_x_at	NA
241045_at	lysine (K)-specific demethylase 8
241046_at	uncharacterized LOC102724511
241047_at	cancer susceptibility candidate 15 (non-protein coding)
241048_at	NA
241049_at	glutamate receptor, metabotropic 7
241050_at	NA
241051_at	NA
241052_at	NA
241053_at	NA
241054_at	NA
241055_at	endothelial PAS domain protein 1
241056_at	zinc finger CCCH-type containing 3
241057_x_at	NA
241058_at	NA
241059_at	NA
241060_x_at	NA
241061_at	NA
241062_at	NA
241063_at	NA
241064_at	NA
241065_x_at	cytidine monophosphate N-acetylneuraminic acid synthetase
241066_at	zinc finger protein 449
241067_at	NA
241068_at	immunoglobulin superfamily, member 6
241069_at	NA
241070_at	NA
241071_at	NA
241072_s_at	insulin-like growth factor 1 (somatomedin C)
241073_at	NA
241074_at	NA
241075_at	ribosomal modification protein rimK-like family member A
241076_at	NA
241077_at	NA
241078_at	solute carrier family 35, member E4
241078_at	uncharacterized LOC101929728
241079_at	NA
241080_at	NA
241081_at	NA
241082_at	asparagine synthetase (glutamine-hydrolyzing)
241083_at	NA
241084_x_at	dynein, cytoplasmic 1, heavy chain 1
241085_at	NA
241086_at	NA
241087_at	NA
241088_at	NA
241089_at	zinc finger protein 562
241090_at	NA
241091_at	argonaute RISC catalytic component 3
241092_at	NA
241093_at	NA
241094_at	NA
241095_at	uncharacterized LOC102723661
241096_at	NA
241097_at	NA
241098_at	C-type lectin domain family 7, member A
241099_at	NA
241100_at	NA
241101_at	NA
241102_at	NA
241103_at	protein phosphatase 4, regulatory subunit 3B
241104_at	NA
241105_at	NA
241106_at	NA
241107_at	NA
241108_at	NA
241109_at	NA
241110_at	NA
241111_at	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1
241112_at	zinc finger protein 517
241113_at	NA
241114_s_at	acetyl-CoA acyltransferase 2
241115_at	NA
241116_at	NA
241117_at	lipoxygenase homology domains 1
241118_at	long intergenic non-protein coding RNA 462
241119_at	NA
241120_s_at	cell division cycle 20B
241121_at	NA
241122_s_at	muscle, skeletal, receptor tyrosine kinase
241123_at	NA
241124_at	uncharacterized LOC101928702
241125_at	NA
241126_at	uncharacterized LOC101929529
241127_at	NA
241128_at	NA
241129_at	NA
241130_at	NA
241131_at	NA
241132_at	NA
241133_at	T cell receptor beta variable 27
241134_at	NA
241135_at	NA
241136_at	NA
241137_at	diffuse panbronchiolitis critical region 1
241138_at	NA
241139_at	NA
241140_at	LIM domain 7
241141_at	bone morphogenetic protein 6
241142_at	NA
241143_at	NA
241144_at	uncharacterized LOC101927702
241145_at	NA
241146_at	MAGI2 antisense RNA 2
241147_at	NA
241148_at	actin, gamma 2, smooth muscle, enteric
241149_at	NA
241150_at	spectrin, alpha, non-erythrocytic 1
241151_at	NA
241152_at	NA
241153_at	NA
241154_x_at	NA
241155_at	NA
241156_at	NA
241157_at	NA
241158_at	NA
241159_x_at	NA
241160_at	NA
241161_at	NA
241162_at	NA
241163_at	NA
241164_at	coiled-coil-helix-coiled-coil-helix domain containing 3
241165_at	NA
241166_at	centrosomal protein 41kDa
241167_at	musculoskeletal, embryonic nuclear protein 1
241167_at	inter-alpha-trypsin inhibitor heavy chain family, member 4
241168_at	NA
241169_at	NA
241170_at	NA
241171_at	NA
241172_at	glutamate receptor, ionotropic, AMPA 2
241173_at	NA
241174_at	adaptor-related protein complex 4, epsilon 1 subunit
241175_at	NA
241176_at	NA
241177_at	NA
241178_at	NA
241179_at	NA
241180_at	uncharacterized LOC100129112
241181_x_at	NA
241182_at	NA
241183_at	NA
241184_x_at	NA
241185_at	SUMO1 activating enzyme subunit 1
241186_at	NA
241187_at	NA
241188_at	NA
241189_at	NA
241190_at	NA
241191_at	NA
241192_at	NA
241193_at	v-ets avian erythroblastosis virus E26 oncogene homolog 2
241194_at	NA
241195_at	NA
241196_at	NA
241197_at	NA
241198_s_at	chromosome 11 open reading frame 70
241199_x_at	developmental pluripotency associated 4
241200_x_at	NA
241201_at	UV-stimulated scaffold protein A
241202_at	NA
241203_at	NA
241204_at	NA
241205_at	NA
241206_at	NA
241207_at	NA
241208_at	PDZ and LIM domain 5
241209_at	DDB1 and CUL4 associated factor 6
241210_at	NA
241211_at	NA
241212_at	NA
241213_x_at	NA
241214_at	NA
241215_at	NA
241216_at	NA
241217_x_at	NA
241218_at	NA
241219_at	NA
241220_at	NA
241221_at	SEC14-like lipid binding 3
241222_at	NA
241223_x_at	NA
241224_x_at	Down syndrome critical region 8
241225_at	NA
241226_at	NA
241227_at	NA
241228_at	NA
241229_at	NA
241230_at	carbonic anhydrase XII
241231_at	NA
241232_x_at	NA
241233_x_at	ankyrin repeat domain 20 family, member A11, pseudogene
241234_at	uncharacterized LOC100506797
241235_at	NA
241236_at	NA
241237_at	NA
241238_at	NA
241239_at	EPN2 intronic transcript 1
241239_at	epsin 2
241240_at	NA
241241_at	ribosomal protein S14
241242_at	NA
241243_at	NA
241244_at	NA
241245_at	serine/arginine-rich splicing factor 4
241246_at	NA
241247_at	long intergenic non-protein coding RNA 1213
241248_at	NA
241249_at	PSMD5 antisense RNA 1 (head to head)
241250_at	NA
241251_at	NA
241252_at	establishment of sister chromatid cohesion N-acetyltransferase 2
241253_at	NA
241254_at	NA
241255_at	catenin (cadherin-associated protein), alpha 3
241256_at	uncharacterized LOC101926934
241257_at	NA
241258_at	NA
241259_at	GRB2-associated binding protein 3
241260_at	NA
241261_x_at	NA
241262_at	NA
241263_at	RAB21, member RAS oncogene family
241264_at	NA
241265_x_at	NA
241266_at	NA
241267_at	EH-domain containing 3
241268_x_at	NA
241269_at	NA
241270_at	NA
241271_at	NA
241272_at	NA
241273_at	NA
241274_at	NA
241275_at	capping protein (actin filament) muscle Z-line, alpha 1
241276_at	NA
241277_x_at	zinc finger protein 837
241278_at	NA
241279_at	NA
241280_at	aldolase B, fructose-bisphosphate
241281_at	NA
241282_at	NA
241283_at	long intergenic non-protein coding RNA 1500
241284_at	NA
241285_at	NA
241286_at	NA
241287_x_at	NA
241288_at	NA
241289_at	NA
241290_at	uncharacterized LOC101927342
241291_at	long intergenic non-protein coding RNA 1541
241292_at	NA
241293_x_at	NA
241294_at	NA
241295_at	NA
241296_at	NA
241297_at	NA
241298_x_at	NA
241299_at	NA
241300_at	NA
241301_at	NA
241302_at	NA
241303_x_at	NA
241304_at	phosphatidylinositol 3-kinase, catalytic subunit type 3
241305_at	NA
241306_at	NA
241307_at	NA
241308_at	long intergenic non-protein coding RNA 1255
241309_at	NA
241310_at	NIMA-related kinase 5
241311_at	NA
241312_at	long intergenic non-protein coding RNA 911
241313_at	dedicator of cytokinesis 4
241314_at	NA
241315_at	NA
241316_at	NA
241317_at	NA
241318_at	NA
241319_at	NA
241320_at	NA
241321_at	NA
241322_at	NA
241323_at	NA
241324_at	NA
241325_at	phosphoinositide-3-kinase, regulatory subunit 3 (gamma)
241326_at	adenylate kinase 7
241327_at	long intergenic non-protein coding RNA 1339
241328_at	zinc finger, matrin-type 1
241329_s_at	long intergenic non-protein coding RNA 672
241330_x_at	NA
241331_at	src kinase associated phosphoprotein 2
241332_at	NA
241333_x_at	NA
241334_at	NA
241335_at	NA
241336_at	NA
241337_at	uncharacterized LOC101929465
241338_at	NA
241339_at	NA
241340_at	NA
241341_at	NA
241342_at	transmembrane protein 65
241343_at	ribonuclease H1
241344_at	NA
241345_at	ZRANB2 antisense RNA 1
241345_at	zinc finger, RAN-binding domain containing 2
241345_at	microRNA 186
241346_at	Rho GTPase activating protein 30
241347_at	ring finger protein 213
241348_at	zinc finger protein 654
241349_at	NA
241350_at	F-box and leucine-rich repeat protein 22
241351_at	NA
241352_at	NA
241353_s_at	uncharacterized LOC100507507
241354_at	ASMTL antisense RNA 1
241355_at	hair growth associated
241356_at	short chain dehydrogenase/reductase family 42E, member 1
241357_at	mitogen-activated protein kinase 15
241358_at	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2
241359_at	TLC domain containing 2
241360_at	coiled-coil domain containing 15
241361_at	NA
241362_at	suppressor of glucose, autophagy associated 1
241363_at	exonuclease 3'-5' domain containing 3
241364_at	transmembrane protein 57
241365_at	SATB homeobox 1
241366_at	RB-associated KRAB zinc finger
241367_at	testis expressed 19
241368_at	perilipin 5
241369_at	ADAMTS9 antisense RNA 1
241370_at	uncharacterized LOC286052
241371_at	tumor necrosis factor receptor superfamily, member 10a
241372_at	zinc finger CCCH-type containing 6
241373_at	NA
241374_at	transmembrane protein 39A
241375_at	ubiquitin specific peptidase 38
241376_at	NA
241377_s_at	mindbomb E3 ubiquitin protein ligase 2
241378_at	mindbomb E3 ubiquitin protein ligase 2
241379_at	aprataxin and PNKP like factor
241380_at	Rho guanine nucleotide exchange factor (GEF) 37
241381_at	chromosome X open reading frame 36
241382_at	Purkinje cell protein 4 like 1
241383_at	zinc finger protein 385C
241384_x_at	glycerol kinase 5 (putative)
241385_at	La ribonucleoprotein domain family, member 7
241386_at	uncharacterized LOC100506691
241387_at	NA
241388_at	uncharacterized LOC101927451
241389_at	cholinergic receptor, nicotinic, beta 2 (neuronal)
241390_at	NA
241391_at	NA
241392_at	transmembrane protein 39A
241393_at	intracisternal A particle-promoted polypeptide
241394_at	uncharacterized LOC101928710
241395_at	nitrilase 1
241396_at	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase
241397_at	NA
241398_at	metallophosphoesterase domain containing 1
241399_at	family with sequence similarity 19 (chemokine (C-C motif)-like), member A2
241400_at	NA
241401_at	WDFY3 antisense RNA 2
241402_at	TSEN54 tRNA splicing endonuclease subunit
241403_at	CDC-like kinase 4
241404_at	NA
241405_at	TOB1 antisense RNA 1
241406_at	family with sequence similarity 83, member H
241407_at	NA
241408_at	cysteine-rich PAK1 inhibitor
241409_at	NA
241410_at	NA
241411_at	NA
241412_at	betacellulin
241413_at	NA
241414_at	ankyrin repeat domain 10
241415_at	NA
241416_at	NA
241417_at	NA
241418_at	NmrA-like family domain containing 1 pseudogene
241419_at	Rho GTPase activating protein 1
241420_at	NA
241421_at	NA
241422_at	NA
241423_at	ZBED3 antisense RNA 1
241424_at	ELAV like neuron-specific RNA binding protein 4
241425_at	nucleoporin 58kDa
241426_at	centrosomal protein 44kDa
241427_x_at	NA
241428_x_at	transcription elongation factor A (SII), 2
241429_at	NA
241430_at	testis expressed 37
241431_at	NA
241432_at	SLIT2 intronic transcript 1
241433_at	REST corepressor 3
241434_at	intracisternal A particle-promoted polypeptide
241435_at	NA
241436_at	sodium channel, non voltage gated 1 gamma subunit
241437_s_at	EP400 N-terminal like
241438_at	NA
241439_at	uncharacterized LOC101929004
241440_at	uncharacterized LOC440982
241440_at	Zic family member 1
241441_at	NA
241442_at	NA
241443_at	acireductone dioxygenase 1
241444_at	NA
241445_at	NA
241446_at	ADAM metallopeptidase domain 28
241447_at	inhibitor of growth family, member 5
241448_at	NA
241449_at	NA
241450_at	R-spondin 1
241451_s_at	NA
241452_at	NA
241453_at	protein tyrosine kinase 2
241454_at	NA
241455_at	chromosome 6 open reading frame 132
241456_at	family with sequence similarity 78, member B
241457_at	NA
241458_at	NA
241459_at	NA
241460_at	NA
241461_at	NA
241462_at	NA
241463_at	eukaryotic translation initiation factor 2-alpha kinase 3
241464_s_at	NA
241465_at	NA
241466_at	NA
241467_at	NA
241468_at	NA
241469_at	HFM1, ATP-dependent DNA helicase homolog
241470_x_at	Ras association (RalGDS/AF-6) domain family (N-terminal) member 9
241471_at	NA
241472_at	Dmx-like 1
241473_at	NA
241474_at	NA
241475_at	breast cancer estrogen-induced apoptosis 2
241476_at	NA
241477_at	nei-like DNA glycosylase 1
241477_at	microRNA 631
241478_at	MICAL-like 2
241479_at	NA
241480_at	ring finger protein 213
241481_at	family with sequence similarity 81, member A
241482_at	EPH receptor A1
241483_at	cytokine-dependent hematopoietic cell linker
241484_x_at	FSHD region gene 1 pseudogene
241484_x_at	FSHD region gene 1 family member C, pseudogene
241485_at	myelin transcription factor 1-like
241486_at	NA
241487_at	NA
241488_at	NA
241489_at	NA
241490_s_at	piggyBac transposable element derived 2
241491_at	NA
241492_at	NA
241493_at	NA
241494_at	NA
241495_at	cyclin L1
241496_at	butyrophilin-like 9
241497_at	NA
241498_at	harbinger transposase derived 1
241499_at	zinc finger protein 621
241500_at	cadherin 8, type 2
241501_at	NA
241502_x_at	NA
241503_at	family with sequence similarity 81, member A
241504_at	uncharacterized LOC100506047
241505_at	NA
241506_at	NA
241507_x_at	NA
241508_at	NA
241509_at	NA
241510_at	phospholipid scramblase-like
241510_at	phospholipid scramblase 2
241511_at	NA
241512_at	spermatogenesis and centriole associated 1
241513_at	NA
241514_at	NA
241515_at	NA
241516_at	NA
241517_at	NA
241518_at	NA
241519_at	histone cluster 1, H2ba
241520_x_at	NA
241521_at	NA
241522_at	long intergenic non-protein coding RNA 454
241523_at	NA
241524_at	NA
241525_at	uncharacterized LOC200772
241526_at	NA
241527_at	NA
241528_at	mitogen-activated protein kinase 15
241529_at	NA
241530_at	NA
241531_at	NA
241532_at	NA
241533_at	long intergenic non-protein coding RNA 1348
241534_at	uncharacterized LOC100505549
241535_at	zinc finger CCCH domain-containing protein 18-like
241536_at	NA
241537_at	NA
241538_at	cilia and flagella associated protein 47
241539_at	NA
241540_at	NA
241541_at	mindbomb E3 ubiquitin protein ligase 2
241542_at	NA
241543_at	NA
241544_at	NA
241545_x_at	NA
241546_at	spermatogenesis associated 5
241547_at	APOBEC1 complementation factor
241548_at	NA
241549_at	NA
241550_at	developmental pluripotency associated 5
241551_at	NA
241552_at	uncharacterized LOC100506677
241553_at	germ cell associated 1
241554_at	NA
241555_at	NA
241556_at	NA
241557_x_at	NA
241558_at	NA
241559_at	NA
241560_at	NA
241561_at	NA
241562_x_at	NA
241563_at	NA
241564_at	glyoxalase domain containing 5
241565_at	collagen, type IV, alpha 4
241566_at	NA
241567_at	NA
241568_at	uncharacterized LOC100506319
241569_at	NA
241570_at	NA
241571_at	NA
241572_at	PDZ domain containing 9
241573_at	NA
241574_s_at	insulin-like growth factor 2 mRNA binding protein 1
241575_at	NA
241576_at	NA
241577_at	NA
241578_x_at	NA
241579_at	NA
241580_at	zinc finger protein 518B
241581_at	NA
241582_at	NA
241583_x_at	NA
241584_at	NA
241585_at	leucine rich repeat containing 4C
241586_at	NA
241587_at	NAALADL2 antisense RNA 3
241588_at	NA
241589_at	NA
241590_at	NA
241591_at	NA
241592_at	NA
241593_x_at	NA
241594_at	NA
241595_at	NA
241596_at	nudix (nucleoside diphosphate linked moiety X)-type motif 10
241597_at	NA
241598_at	nudix (nucleoside diphosphate linked moiety X)-type motif 10
241599_at	LSM11, U7 small nuclear RNA associated
241600_at	WAS/WASL interacting protein family, member 3
241601_at	WAS/WASL interacting protein family, member 3
241602_at	zinc finger protein 582
241603_at	ATPase, class VI, type 11A
241604_at	ATPase, class VI, type 11A
241605_at	TruB pseudouridine (psi) synthase family member 1
241606_s_at	TruB pseudouridine (psi) synthase family member 1
241607_at	quinone oxidoreductase-like protein 2 pseudogene
241608_at	NA
241609_at	forkhead box D3
241610_x_at	NA
241611_s_at	fibronectin type III domain containing 3A
241612_at	forkhead box D3
241613_at	NA
241614_at	NA
241615_x_at	NA
241616_at	NA
241617_x_at	NA
241618_at	NA
241619_at	calmodulin 1 (phosphorylase kinase, delta)
241619_at	calmodulin 2 (phosphorylase kinase, delta)
241619_at	calmodulin 3 (phosphorylase kinase, delta)
241620_at	structural maintenance of chromosomes flexible hinge domain containing 1
241621_at	structural maintenance of chromosomes flexible hinge domain containing 1
241622_at	protein tyrosine phosphatase, non-receptor type 2
241623_at	protein tyrosine phosphatase, non-receptor type 2
241624_at	ankyrin repeat domain 57 pseudogene
241625_at	ankyrin repeat domain 57 pseudogene
241626_at	Wilms tumor 1 associated protein
241627_x_at	Rho guanine nucleotide exchange factor (GEF) 40
241628_at	NA
241629_at	NA
241630_at	NA
241631_at	Rho guanine nucleotide exchange factor (GEF) 40
241632_x_at	NA
241633_x_at	NA
241634_at	NA
241635_at	NA
241636_x_at	NA
241637_at	NA
241638_at	NA
241639_at	NA
241640_at	B-cell receptor-associated protein 29
241641_at	NA
241642_x_at	tousled-like kinase 1
241643_at	tousled-like kinase 1
241644_at	bolA family member 2
241645_at	NA
241646_s_at	NA
241647_x_at	NA
241648_at	NA
241649_at	NA
241650_x_at	hemicentin 2
241651_at	NA
241652_x_at	lin-7 homolog A (C. elegans)
241653_x_at	NA
241654_at	NA
241655_at	NA
241656_at	NA
241657_at	NA
241658_at	ariadne RBR E3 ubiquitin protein ligase 1
241659_at	jumonji domain containing 1C
241660_at	NA
241661_at	jumonji domain containing 1C
241662_x_at	NA
241663_at	T cell activation inhibitor, mitochondrial
241664_x_at	NA
241665_x_at	NA
241666_at	T cell activation inhibitor, mitochondrial
241667_x_at	NA
241668_s_at	collagen alpha-1(III) chain-like
241669_x_at	protein kinase D2
241670_x_at	neuroblastoma associated transcript 1
241671_x_at	neuroblastoma associated transcript 1
241671_x_at	cancer susceptibility candidate 15 (non-protein coding)
241672_at	serine-rich and transmembrane domain containing 1
241673_x_at	NA
241674_s_at	NA
241675_s_at	NA
241676_x_at	NA
241677_x_at	NA
241678_at	NA
241679_at	NA
241680_at	NA
241681_at	NA
241682_at	kelch-like family member 23
241683_at	HECT domain containing E3 ubiquitin protein ligase 1
241684_at	NA
241685_x_at	purine-rich element binding protein A
241686_x_at	NA
241687_at	WD repeat domain 12
241688_at	NA
241689_at	methyltransferase like 14
241690_at	transmembrane protein C9orf144B pseudogene
241691_at	scavenger receptor class F, member 2
241692_at	NA
241693_at	NA
241694_at	polycystic kidney and hepatic disease 1 (autosomal recessive)
241695_s_at	NA
241696_at	centlein, centrosomal protein
241697_at	NA
241698_at	raftlin family member 2
241699_at	NA
241700_at	zinc finger homeobox 4
241701_at	Rho GTPase activating protein 21
241702_at	NA
241703_at	RUN domain containing 3B
241704_x_at	zinc finger protein 320
241705_at	ATP-binding cassette, sub-family A (ABC1), member 5
241706_at	copine VIII
241707_at	TraB domain containing 2B
241708_at	dedicator of cytokinesis 1
241709_s_at	dedicator of cytokinesis 1
241710_at	C1GALT1-specific chaperone 1 like
241711_at	NA
241712_at	chibby homolog 3 (Drosophila)
241713_s_at	dyslexia susceptibility 1 candidate 1
241713_s_at	DYX1C1-CCPG1 readthrough (NMD candidate)
241714_at	NA
241715_x_at	acid phosphatase, testicular
241716_at	heat shock 60kDa protein 1 (chaperonin)
241717_at	myelin-associated oligodendrocyte basic protein
241718_x_at	NA
241719_at	NA
241720_at	zinc finger protein 326
241721_at	NA
241722_x_at	NA
241723_at	IQ motif containing GTPase activating protein 2
241724_x_at	NA
241725_at	E2F transcription factor 7
241726_at	NA
241727_x_at	dihydrofolate reductase-like 1
241728_at	NA
241729_at	docking protein 6
241730_at	myoneurin
241731_x_at	zinc finger protein 440
241732_at	NA
241733_at	chromosome 18 open reading frame 54
241734_at	serum response factor binding protein 1
241735_at	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8
241736_at	F-box and WD repeat domain containing 2
241737_x_at	NA
241738_at	zinc finger protein 250
241739_at	2-oxoglutarate and iron-dependent oxygenase domain containing 1
241740_at	NA
241741_at	cardiolipin synthase 1
241742_at	PML-RARA regulated adaptor molecule 1
241743_at	uncharacterized LOC101928323
241744_x_at	NA
241745_at	uncharacterized LOC100507557
241746_at	cullin 7
241747_s_at	cullin 7
241748_x_at	DiGeorge syndrome critical region gene 14
241749_at	muscle-related coiled-coil protein
241750_x_at	NA
241751_at	oral-facial-digital syndrome 1
241752_at	solute carrier family 8 (sodium/calcium exchanger), member 1
241753_at	NA
241754_at	suppressor of cancer cell invasion
241755_at	ubiquinol-cytochrome c reductase core protein II
241756_at	NA
241757_x_at	dynein, cytoplasmic 2, light intermediate chain 1
241758_at	nucleoporin 93kDa
241759_at	NA
241760_x_at	RAR-related orphan receptor A
241761_at	NA
241762_at	F-box protein 32
241763_s_at	F-box protein 32
241764_at	NA
241765_at	carboxypeptidase M
241766_at	uncharacterized LOC100509303
241767_at	uncharacterized LOC101928087
241768_at	NA
241769_at	NA
241770_x_at	NA
241771_at	RIMS binding protein 2
241772_at	NA
241773_at	NA
241774_at	PSMA3 antisense RNA 1
241775_at	NA
241776_at	NA
241777_x_at	NA
241778_at	5'-nucleotidase, cytosolic II
241779_at	metaxin 3
241780_at	NA
241781_at	carnosine N-methyltransferase 1
241782_at	nebulette
241783_at	NA
241784_x_at	helicase, POLQ-like
241785_at	NA
241786_at	NA
241787_at	FOXC1 upstream transcript (non-protein coding)
241788_x_at	NA
